City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,bredasdorp,-34.5322,20.0403,20.52,95,99,2.15,ZA,1707018270
82,banda aceh,5.5577,95.3222,29.09,67,32,3.7,ID,1707018246
83,calvi,42.5,8.8333,14.35,34,0,7.72,FR,1707018584
84,puerto ayora,-0.7393,-90.3518,24.75,99,15,3.58,EC,1707018257
85,ad dilam,23.9915,47.1627,8.23,41,83,2.03,SA,1707018584
86,iwanai,42.9744,140.5089,-1.45,71,100,4.53,JP,1707018584
87,iskateley,67.6803,53.1512,-13.32,84,16,7.15,RU,1707018313
88,mahibadhoo,3.7833,72.9667,28.06,78,63,5.94,MV,1707018585
89,nampula,-15.1165,39.2666,22.97,94,100,16.99,MZ,1707018585
90,lompoc,34.6391,-120.4579,10.99,82,100,6.71,US,1707018327
91,mutoko,-17.397,32.2268,15.87,91,93,0.75,ZW,1707018585
92,blackmans bay,-43.0167,147.3167,15.07,83,100,3.54,AU,1707018259
93,carnarvon,-24.8667,113.6333,26.75,56,8,9.59,AU,1707018326
94,greenville,35.6127,-77.3663,2.85,91,0,0.89,US,1707018586
95,uturoa,-16.7333,-151.4333,27.82,69,100,4.87,PF,1707018267
96,crucecita,-28.95,-58.9833,27.05,44,0,2.95,AR,1707018586
97,baganga,7.5739,126.56,27.2,81,84,1.7,PH,1707018586
98,victorica,-36.2151,-65.4359,19.32,24,59,9.6,AR,1707018586
99,enniskillen,54.3461,-7.6413,8.25,85,100,4.21,GB,1707018587
100,isangel,-19.55,169.2667,31.06,79,100,1.03,VU,1707018587
101,yeniseysk,58.4497,92.1703,-12.81,95,100,3.13,RU,1707018587
102,ola,59.5833,151.2833,-16.62,76,84,4.85,RU,1707018371
103,longyearbyen,78.2186,15.6401,-14.09,85,0,4.63,SJ,1707018274
104,inongo,-1.95,18.2667,22.8,92,98,0.96,CD,1707018350
105,groningen,53.25,6.75,6.68,91,56,4.63,NL,1707018584
106,kismayo,-0.3582,42.5454,26.97,83,38,5.71,SO,1707018588
107,paulden,34.8856,-112.4682,4.84,67,73,3.13,US,1707018588
108,west island,-12.1568,96.8225,24.99,94,100,3.09,CC,1707018269
109,qui nhon,13.7667,109.2333,25.8,75,8,2.74,VN,1707018588
110,mosjoen,65.836,13.1908,0.29,100,100,3.13,NO,1707018588
111,watsa,3.0372,29.5355,17.82,50,82,0.54,CD,1707018588
112,tiksi,71.6872,128.8694,-31.54,99,100,2.17,RU,1707018265
113,antsiranana,-12.2787,49.2917,25.42,83,75,0.0,MG,1707018589
114,port elizabeth,-33.918,25.5701,22.28,96,100,3.6,ZA,1707018176
115,tazovsky,67.4667,78.7,-14.69,94,100,2.76,RU,1707017999
116,la sarre,48.8002,-79.1996,-4.08,97,73,0.51,CA,1707018575
117,tres lagoas,-20.7511,-51.6783,24.27,64,100,2.34,BR,1707018589
118,arraial do cabo,-22.9661,-42.0278,24.83,93,100,6.47,BR,1707018304
119,sandnessjoen,66.0217,12.6316,0.29,96,100,17.89,NO,1707018379
120,saipan,15.1355,145.701,31.39,55,75,11.32,MP,1707018268
121,laredo,27.5064,-99.5075,17.16,51,0,2.06,US,1707018590
122,tchintabaraden,15.8969,5.7985,13.18,19,0,5.66,NE,1707018353
123,qaqortoq,60.7167,-46.0333,-22.18,69,1,3.6,GL,1707018334
124,paidha,2.4167,30.9855,18.75,46,95,0.72,UG,1707018590
125,berezovyy,51.6667,135.7,-13.79,64,3,1.18,RU,1707018363
126,amahai,-3.3333,128.9167,31.58,62,49,2.99,ID,1707018591
127,aioun,16.6614,-9.6149,17.45,12,43,5.83,MR,1707018591
128,atafu village,-8.5421,-172.5159,28.65,77,100,9.52,TK,1707018316
129,metkovic,43.0542,17.6483,0.26,76,13,0.92,HR,1707018591
130,college,64.8569,-147.8028,-38.28,64,20,0.0,US,1707018285
131,humahuaca,-23.2054,-65.3505,13.91,66,63,1.93,AR,1707018591
132,cedeira,43.6797,-8.0209,8.54,85,9,3.19,ES,1707018592
133,afaahiti,-17.75,-149.2833,27.93,78,99,4.4,PF,1707018304
134,motygino,58.1831,94.7592,-16.83,97,99,0.91,RU,1707018592
135,kapa'a,22.0752,-159.319,22.99,60,75,11.32,US,1707018592
136,port alfred,-33.5906,26.891,20.66,97,100,3.77,ZA,1707018278
137,lihue,21.9789,-159.3672,22.58,59,75,11.32,US,1707018262
138,caconda,-13.7333,15.0667,16.31,94,100,1.4,AO,1707018593
139,luwuk,-0.9516,122.7875,30.24,75,56,0.38,ID,1707018593
140,hilo,19.7297,-155.09,21.25,73,50,1.79,US,1707018248
141,monywa,22.1167,95.1333,24.11,32,0,3.81,MM,1707018593
142,asaita,11.5636,41.4394,23.78,74,78,2.05,ET,1707018593
143,lebu,-37.6167,-73.65,14.26,85,0,8.71,CL,1707018265
144,kochubey,44.3861,46.5825,0.17,87,100,3.44,RU,1707018594
145,ust-nera,64.5667,143.2,-22.2,95,100,2.19,RU,1707018270
146,beyneu,45.3167,55.2,-0.09,93,100,4.17,KZ,1707018594
147,vila do maio,15.1333,-23.2167,22.44,65,100,4.9,CV,1707018316
148,yellowknife,62.456,-114.3525,-27.71,76,0,2.57,CA,1707018315
149,port blair,11.6667,92.75,29.02,65,20,4.12,IN,1707018371
150,talnakh,69.4865,88.3972,-14.33,95,100,4.53,RU,1707018253
151,pisco,-13.7,-76.2167,24.03,78,75,6.17,PE,1707018595
152,yaren,-0.5472,166.916,28.92,77,100,6.82,NR,1707018595
153,tura,25.5198,90.2201,20.76,23,0,1.4,IN,1707018307
154,nyaunglebin,17.95,96.7333,30.04,25,0,1.18,MM,1707018595
155,necochea,-38.5473,-58.7368,16.34,57,90,5.67,AR,1707018595
156,ilulissat,69.2167,-51.1,-20.99,49,93,6.69,GL,1707018270
157,manicore,-5.8092,-61.3003,23.97,98,100,0.92,BR,1707018596
158,east ballina,-28.8667,153.5833,29.89,73,86,6.03,AU,1707018328
159,hawaiian paradise park,19.5933,-154.9731,21.13,72,54,1.34,US,1707018596
160,gadzhiyevo,69.2551,33.3362,-6.58,85,100,8.38,RU,1707018282
161,thompson,55.7435,-97.8558,0.09,100,100,2.57,CA,1707018240
162,samraong,12.4526,105.5873,33.82,41,2,1.7,KH,1707018596
163,'ain boucif,35.8912,3.1585,4.53,67,0,1.23,DZ,1707018596
164,antalaha,-14.9003,50.2788,23.8,95,100,2.2,MG,1707018284
165,susuman,62.7833,148.1667,-25.01,97,89,1.34,RU,1707018597
166,atlantic beach,30.3344,-81.3987,15.58,88,75,5.14,US,1707018597
167,chonchi,-42.6128,-73.8092,11.73,78,56,0.73,CL,1707018283
168,sogndal,61.2283,7.1003,0.21,100,100,1.54,NO,1707018597
169,xining,36.6167,101.7667,-5.53,51,57,0.68,CN,1707018358
170,christchurch,-43.5333,172.6333,29.67,41,4,6.17,NZ,1707017784
171,choma,-16.8065,26.9531,16.32,76,52,2.25,ZM,1707018598
172,luderitz,-26.6481,15.1594,18.07,97,53,0.26,NA,1707018178
173,cururupu,-1.8283,-44.8683,24.91,92,45,1.55,BR,1707018076
174,nizhnesortymskiy,62.4397,71.7603,-23.06,100,100,4.19,RU,1707018598
175,vadso,70.0744,29.7487,-1.91,80,100,4.63,NO,1707018080
176,westerland,54.9079,8.3033,7.01,81,100,9.77,DE,1707018598
177,black point,-34.6187,137.8972,33.93,32,0,3.72,AU,1707018598
178,kozhevnikovo,56.2589,83.9714,-7.08,94,100,3.83,RU,1707018599
179,la'ie,21.6477,-157.9253,23.98,57,26,4.47,US,1707018599
180,khouribga,32.9333,-6.6,10.48,40,61,1.18,MA,1707018599
181,yemva,62.59,50.8594,-12.27,93,99,3.6,RU,1707018599
182,lauro de freitas,-12.8944,-38.3272,28.01,78,20,3.6,BR,1707018599
183,bouake,7.6895,-5.0218,25.06,25,97,3.09,CI,1707018600
184,udachny,66.4167,112.4,-27.2,80,81,1.48,RU,1707018310
185,champerico,14.3,-91.9167,25.95,69,2,5.82,GT,1707018383
186,mermoz boabab,14.7065,-17.4758,21.88,83,0,4.12,SN,1707018600
187,paradip garh,20.3167,86.6167,24.6,65,0,1.93,IN,1707018600
188,rockland,41.1668,-74.0496,2.47,75,21,1.82,US,1707018600
189,baidoa,3.1138,43.6498,23.03,74,25,6.39,SO,1707018601
190,pizarro,4.9533,-77.366,25.51,89,53,1.13,CO,1707018601
191,fort bragg,35.139,-79.006,5.46,84,0,0.0,US,1707018601
192,ust'-uda,54.1742,103.0304,-13.39,87,100,1.11,RU,1707018601
193,puerto deseado,-47.7503,-65.8938,12.58,62,99,11.34,AR,1707018601
194,villamontes,-21.25,-63.5,26.75,40,17,1.81,BO,1707018273
195,avarua,-21.2078,-159.775,30.03,74,8,3.09,CK,1707018280
196,kathmandu,27.7167,85.3167,10.12,81,75,1.03,NP,1707018548
197,bodo,67.28,14.405,2.1,88,40,6.69,NO,1707018345
198,alice springs,-23.7,133.8833,35.75,19,100,4.12,AU,1707018263
199,saint-philippe,-21.3585,55.7679,24.77,66,46,4.06,RE,1707018281
200,aoulef,26.9667,1.0833,11.89,50,0,7.73,DZ,1707018602
201,tortoreto lido,42.8038,13.9429,12.84,44,34,1.32,IT,1707018603
202,san patricio,28.017,-97.5169,17.16,56,1,1.04,US,1707018313
203,port lincoln,-34.7333,135.8667,29.49,38,1,5.41,AU,1707018336
204,queenstown,-31.8976,26.8753,18.34,80,63,0.58,ZA,1707018280
205,miri,4.4148,114.0089,31.08,70,40,1.03,MY,1707018603
